,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Wilone O'Kielt,  India,After Nines,25/3/2021,"$9,660 ",106,358
,,Ches Bonnell,  India,White Choc,25/3/2021,"$9,737 ",184,886
,,Gigi Bohling,UK,Baker's Choco Chips,25/3/2021,"$3,899 ",199,488
,,Brien Boise, UK,Manuka Honey Choco,26/3/2021,"$1,477 ",58,48
,,Kelci Walkden,   Australia,Spicy Special Slims,26/3/2021,"$4,242 ",324,152
,,Camilla Castle, USA,70% Dark Bites,26/3/2021,"$8,946 ",163,895
,,Camilla Castle,   India,Orange Choco,26/3/2021,"$14,504 ",150,1813
,,Kelci Walkden,  New Zealand,Manuka Honey Choco,26/3/2021,"$6,433 ",130,202
,,Curtice Advani, Canada,After Nines,26/3/2021,"$9,261 ",143,343
,,Oby Sorrel,New Zealand,85% Dark Bars,26/3/2021,$756 ,71,38
,,Gunar Cockshoot,   USA,Baker's Choco Chips,26/3/2021,"$4,018 ",10,447
,,Karlen McCaffrey, Australia,99% Dark & Pure,26/3/2021,$168 ,281,9
,,Gunar Cockshoot,Canada,Caramel Stuffed Bars,26/3/2021,"$4,004 ",16,149
,,Jan Morforth,Australia,99% Dark & Pure,26/3/2021,"$6,272 ",133,299
,,Ches Bonnell,India,70% Dark Bites,26/3/2021,"$5,215 ",87,348
,,Gunar Cockshoot,New Zealand,Spicy Special Slims,26/3/2021,"$3,094 ",21,148
,,Mallorie Waber, Australia,99% Dark & Pure,26/3/2021,"$9,324 ",171,583
,,Van Tuxwell,  UK,Organic Choco Syrup,26/3/2021,"$20,447 ",78,758
,,Kaine Padly,  India,Baker's Choco Chips,26/3/2021,"$14,189 ",19,1183
,,Jan Morforth,   India,Smooth Sliky Salty,26/3/2021,"$6,503 ",231,434
,,Curtice Advani,USA,Fruit & Nut Bars,26/3/2021,"$2,212 ",24,202
,,Husein Augar, New Zealand,Choco Coated Almonds,26/3/2021,"$2,975 ",45,142
,,Dotty Strutley,  USA,White Choc,29/3/2021,"$4,788 ",217,342
,,Jan Morforth,USA,White Choc,29/3/2021,"$9,604 ",201,565
,,Mallorie Waber, New Zealand,Drinking Coco,29/3/2021,$616 ,181,24
,,Oby Sorrel,  USA,50% Dark Bites,29/3/2021,"$7,644 ",4,695
,,Kaine Padly,   India,50% Dark Bites,29/3/2021,"$4,193 ",153,263
,,Madelene Upcott,Australia,Mint Chip Choco,29/3/2021,"$6,132 ",183,307
,,Oby Sorrel,New Zealand,Smooth Sliky Salty,29/3/2021,"$7,896 ",302,376
,,Jehu Rudeforth,  New Zealand,Organic Choco Syrup,29/3/2021,"$2,576 ",332,96
,,Jan Morforth,  India,Raspberry Choco,29/3/2021,"$2,821 ",197,157
,,Kaine Padly,  Australia,After Nines,29/3/2021,"$12,103 ",88,485
,,Dennison Crosswaite,   Canada,Smooth Sliky Salty,29/3/2021,"$5,271 ",330,377
,,Karlen McCaffrey, USA,Baker's Choco Chips,29/3/2021,"$5,117 ",66,512
,,Ches Bonnell,UK,Orange Choco,30/3/2021,"$4,767 ",232,434
,,Wilone O'Kielt, India,Caramel Stuffed Bars,30/3/2021,"$20,076 ",29,670
,,Camilla Castle,  New Zealand,Eclairs,30/3/2021,"$2,583 ",206,185
,,Oby Sorrel,  New Zealand,Orange Choco,30/3/2021,"$14,210 ",39,2030
,,Barr Faughny,  Canada,Baker's Choco Chips,30/3/2021,"$4,403 ",25,315
,,Gunar Cockshoot,Australia,Spicy Special Slims,30/3/2021,"$12,985 ",279,619
,,Dotty Strutley,Canada,85% Dark Bars,30/3/2021,"$1,358 ",63,68
,,Barr Faughny,   India,Baker's Choco Chips,30/3/2021,$203 ,330,19
,,Curtice Advani,   Australia,Eclairs,30/3/2021,"$1,281 ",275,99
,,Jehu Rudeforth,   Australia,Organic Choco Syrup,30/3/2021,"$13,475 ",119,539
,,Beverie Moffet, UK,White Choc,30/3/2021,"$1,547 ",200,119
,,Wilone O'Kielt,  India,Almond Choco,31/3/2021,"$6,013 ",217,317
,,Oby Sorrel,   Australia,70% Dark Bites,31/3/2021,"$10,703 ",21,1071
,,Brien Boise, Canada,After Nines,31/3/2021,"$7,630 ",236,306
,,Mallorie Waber,   USA,Eclairs,31/3/2021,"$5,369 ",251,384
,,Gunar Cockshoot,  Australia,Choco Coated Almonds,31/3/2021,"$7,917 ",115,360
,,Dennison Crosswaite,Australia,Eclairs,31/3/2021,$259 ,116,17
,,Brien Boise,  USA,Organic Choco Syrup,1/4/2021,"$3,115 ",22,112
,,Dotty Strutley,   UK,Eclairs,1/4/2021,"$10,731 ",117,537
,,Madelene Upcott,   UK,Eclairs,1/4/2021,"$2,352 ",21,181
,,Gunar Cockshoot,USA,99% Dark & Pure,1/4/2021,"$5,138 ",51,303
,,Rafaelita Blaksland,India,Orange Choco,1/4/2021,"$1,428 ",194,102
,,Kaine Padly, Australia,85% Dark Bars,1/4/2021,"$3,598 ",17,157
,,Wilone O'Kielt, Australia,Eclairs,1/4/2021,"$10,528 ",21,555
,,Kelci Walkden,   Canada,After Nines,2/4/2021,"$2,100 ",242,70
,,Mallorie Waber,  India,Milk Bars,2/4/2021,"$6,797 ",218,262
,,Dotty Strutley, USA,Caramel Stuffed Bars,2/4/2021,"$6,202 ",52,249
,,Gigi Bohling,Australia,Milk Bars,2/4/2021,"$8,001 ",4,348
,,Ches Bonnell,  USA,Mint Chip Choco,2/4/2021,"$13,832 ",294,814
,,Jan Morforth,USA,70% Dark Bites,2/4/2021,"$1,568 ",181,121
,,Jan Morforth,UK,Drinking Coco,2/4/2021,"$3,129 ",127,112
,,Gigi Bohling,Australia,After Nines,2/4/2021,"$6,944 ",2,278
,,Dotty Strutley,UK,Organic Choco Syrup,2/4/2021,"$7,672 ",17,265
,,Ches Bonnell,UK,99% Dark & Pure,2/4/2021,"$4,137 ",200,197
,,Dotty Strutley,  USA,Almond Choco,2/4/2021,"$1,365 ",155,72
,,Karlen McCaffrey,  New Zealand,Raspberry Choco,2/4/2021,"$7,238 ",381,453
,,Dotty Strutley,   New Zealand,Almond Choco,2/4/2021,"$10,500 ",355,457
,,Madelene Upcott, USA,Smooth Sliky Salty,2/4/2021,"$6,790 ",129,453
,,Dotty Strutley, India,70% Dark Bites,2/4/2021,"$7,203 ",63,515
,,Jehu Rudeforth,   India,Baker's Choco Chips,2/4/2021,"$6,202 ",86,443
,,Dennison Crosswaite,USA,White Choc,5/4/2021,"$8,351 ",1,696
,,Roddy Speechley,   India,70% Dark Bites,5/4/2021,$980 ,437,109
,,Husein Augar,Australia,85% Dark Bars,5/4/2021,"$12,908 ",182,562
,,Andria Kimpton, Canada,70% Dark Bites,5/4/2021,"$4,473 ",302,320
,,Wilone O'Kielt,   India,Manuka Honey Choco,6/4/2021,"$3,066 ",155,93
,,Marney O'Breen,India,Drinking Coco,6/4/2021,"$4,053 ",329,177
,,Wilone O'Kielt, UK,99% Dark & Pure,6/4/2021,"$3,024 ",155,152
,,Jan Morforth, Australia,Organic Choco Syrup,7/4/2021,"$2,100 ",147,68
,,Oby Sorrel,   Australia,Spicy Special Slims,7/4/2021,"$2,555 ",156,112
,,Andria Kimpton,UK,Organic Choco Syrup,7/4/2021,"$6,559 ",208,243
,,Beverie Moffet,  Canada,Eclairs,7/4/2021,"$8,176 ",183,390
,,Wilone O'Kielt,  UK,Almond Choco,7/4/2021,"$17,675 ",197,884
,,Madelene Upcott,Australia,Baker's Choco Chips,7/4/2021,"$11,004 ",175,1223
,,Camilla Castle,  New Zealand,Milk Bars,7/4/2021,"$2,233 ",292,77
,,Gigi Bohling,USA,Milk Bars,7/4/2021,"$16,359 ",14,712
,,Curtice Advani,   UK,70% Dark Bites,7/4/2021,"$3,192 ",21,228
,,Dotty Strutley,Canada,Eclairs,7/4/2021,"$5,313 ",275,380
,,Beverie Moffet,  Canada,Raspberry Choco,7/4/2021,"$1,841 ",223,97
,,Dennison Crosswaite,  UK,Spicy Special Slims,7/4/2021,"$9,884 ",13,396
,,Wilone O'Kielt, New Zealand,White Choc,7/4/2021,"$3,066 ",268,205
,,Andria Kimpton,Canada,Manuka Honey Choco,7/4/2021,"$11,207 ",254,362
,,Husein Augar,   India,50% Dark Bites,7/4/2021,"$6,321 ",86,452
,,Brien Boise, India,Orange Choco,7/4/2021,"$5,299 ",62,663
,,Dennison Crosswaite, Australia,Choco Coated Almonds,8/4/2021,"$11,578 ",63,552
,,Camilla Castle, India,99% Dark & Pure,8/4/2021,"$4,298 ",201,239
,,Marney O'Breen,Australia,Baker's Choco Chips,8/4/2021,"$9,548 ",17,682
,,Brien Boise,  New Zealand,Spicy Special Slims,8/4/2021,"$5,663 ",25,236
,,Brien Boise, UK,Spicy Special Slims,8/4/2021,$329 ,260,15
,,Brien Boise,   New Zealand,Mint Chip Choco,8/4/2021,"$9,275 ",165,489
,,Karlen McCaffrey,  Australia,After Nines,8/4/2021,$77 ,133,3
,,Brien Boise,India,Raspberry Choco,8/4/2021,"$4,256 ",110,224
,,Van Tuxwell,   UK,Almond Choco,9/4/2021,"$4,018 ",413,237
,,Kelci Walkden, UK,Mint Chip Choco,9/4/2021,"$6,699 ",138,479
,,Roddy Speechley,USA,85% Dark Bars,9/4/2021,"$4,571 ",17,241
,,Gigi Bohling, Australia,85% Dark Bars,9/4/2021,"$4,193 ",79,200
,,Madelene Upcott,USA,Orange Choco,9/4/2021,$392 ,175,28
,,Husein Augar,UK,Almond Choco,9/4/2021,"$3,192 ",18,146
,,Gigi Bohling,   Canada,Peanut Butter Cubes,9/4/2021,$154 ,48,7
,,Curtice Advani, UK,Drinking Coco,9/4/2021,"$5,502 ",112,212
,,Dotty Strutley,   UK,Orange Choco,9/4/2021,"$4,389 ",365,439
,,Ches Bonnell,   Australia,99% Dark & Pure,9/4/2021,"$12,215 ",120,764
,,Jan Morforth,UK,Orange Choco,9/4/2021,"$1,960 ",50,140
,,Van Tuxwell,India,Fruit & Nut Bars,9/4/2021,$994 ,389,77
,,Beverie Moffet,  New Zealand,Spicy Special Slims,9/4/2021,"$3,731 ",41,150
,,Jehu Rudeforth,   USA,Peanut Butter Cubes,12/4/2021,"$11,851 ",45,456
,,Madelene Upcott,   New Zealand,Manuka Honey Choco,12/4/2021,"$7,798 ",77,289
,,Brien Boise,New Zealand,99% Dark & Pure,12/4/2021,$658 ,82,32
,,Madelene Upcott, India,Baker's Choco Chips,12/4/2021,"$18,963 ",191,1355
,,Brien Boise,   India,99% Dark & Pure,12/4/2021,$574 ,383,34
,,Karlen McCaffrey,   Canada,Manuka Honey Choco,12/4/2021,$763 ,47,28
,,Marney O'Breen, Canada,50% Dark Bites,12/4/2021,"$1,295 ",218,108
,,Karlen McCaffrey,  USA,Spicy Special Slims,12/4/2021,"$1,281 ",349,61
,,Beverie Moffet,   Canada,Baker's Choco Chips,12/4/2021,"$6,657 ",364,606
,,Marney O'Breen,  Canada,Mint Chip Choco,12/4/2021,"$1,533 ",129,110
,,Mallorie Waber,   UK,99% Dark & Pure,12/4/2021,"$2,534 ",36,121
,,Van Tuxwell,USA,White Choc,12/4/2021,"$3,808 ",74,224
,,Andria Kimpton,  New Zealand,99% Dark & Pure,12/4/2021,"$7,637 ",90,425
,,Karlen McCaffrey, Canada,50% Dark Bites,13/4/2021,"$5,397 ",37,416
,,Barr Faughny,  Australia,Organic Choco Syrup,13/4/2021,"$5,649 ",97,202
,,Oby Sorrel, Canada,Drinking Coco,13/4/2021,"$2,996 ",136,116
,,Wilone O'Kielt,  Australia,Organic Choco Syrup,13/4/2021,"$2,247 ",351,87
,,Andria Kimpton,USA,Orange Choco,13/4/2021,"$1,092 ",136,84
,,Jan Morforth,   India,Mint Chip Choco,13/4/2021,"$4,368 ",23,292
,,Barr Faughny,Canada,White Choc,13/4/2021,$868 ,90,87
,,Kaine Padly,  USA,Milk Bars,13/4/2021,"$8,729 ",35,364
,,Jan Morforth,   USA,99% Dark & Pure,13/4/2021,"$2,065 ",17,130
,,Kaine Padly,   New Zealand,99% Dark & Pure,13/4/2021,"$6,293 ",48,274
,,Gigi Bohling,New Zealand,70% Dark Bites,13/4/2021,"$7,602 ",247,761
,,Marney O'Breen, Canada,Almond Choco,13/4/2021,"$10,150 ",223,598
,,Brien Boise,  UK,Almond Choco,13/4/2021,"$11,081 ",311,739
,,Dotty Strutley,USA,Raspberry Choco,13/4/2021,$588 ,41,27
,,Jehu Rudeforth,   UK,70% Dark Bites,13/4/2021,"$3,710 ",129,413
,,Roddy Speechley,   New Zealand,Raspberry Choco,14/4/2021,$371 ,121,27
,,Mallorie Waber,  New Zealand,85% Dark Bars,14/4/2021,"$2,254 ",69,119
,,Karlen McCaffrey,   Australia,Peanut Butter Cubes,14/4/2021,"$2,345 ",70,112
,,Barr Faughny,   Australia,50% Dark Bites,14/4/2021,"$18,473 ",6,2053
,,Wilone O'Kielt, USA,Organic Choco Syrup,14/4/2021,"$1,680 ",26,58
,,Rafaelita Blaksland,  USA,85% Dark Bars,14/4/2021,"$4,508 ",16,215
,,Dennison Crosswaite,   Australia,Raspberry Choco,15/4/2021,"$8,463 ",284,385
,,Beverie Moffet,India,Baker's Choco Chips,15/4/2021,$931 ,269,117
,,Jan Morforth,Canada,Eclairs,15/4/2021,"$12,460 ",197,623
,,Dennison Crosswaite,   Australia,Milk Bars,15/4/2021,$868 ,78,37
,,Mallorie Waber, UK,Manuka Honey Choco,15/4/2021,$301 ,117,13
,,Brien Boise,  India,Baker's Choco Chips,15/4/2021,$434 ,116,37
,,Rafaelita Blaksland,  UK,Peanut Butter Cubes,15/4/2021,"$2,058 ",2,115
,,Camilla Castle,   Canada,White Choc,15/4/2021,"$9,597 ",167,873
,,Marney O'Breen,  India,Almond Choco,16/4/2021,"$13,314 ",198,784
,,Mallorie Waber,   UK,Baker's Choco Chips,16/4/2021,$630 ,106,70
,,Wilone O'Kielt,USA,Raspberry Choco,16/4/2021,"$8,918 ",31,446
,,Kelci Walkden,   India,Manuka Honey Choco,16/4/2021,"$7,133 ",446,223
,,Van Tuxwell,   Australia,Fruit & Nut Bars,16/4/2021,"$1,638 ",106,97
,,Marney O'Breen,  India,50% Dark Bites,16/4/2021,"$8,253 ",262,551
,,Dennison Crosswaite,India,Milk Bars,16/4/2021,"$5,950 ",30,192
,,Jan Morforth,   New Zealand,50% Dark Bites,16/4/2021,"$7,000 ",5,875
,,Kelci Walkden,Canada,Organic Choco Syrup,16/4/2021,"$2,030 ",162,89
,,Van Tuxwell,   India,Almond Choco,16/4/2021,"$8,337 ",306,439
,,Gunar Cockshoot,India,Milk Bars,16/4/2021,"$1,876 ",171,79
,,Andria Kimpton,Canada,Eclairs,16/4/2021,"$9,352 ",293,446
,,Dennison Crosswaite,India,50% Dark Bites,16/4/2021,"$5,621 ",154,625
,,Gunar Cockshoot,   India,Orange Choco,16/4/2021,"$6,062 ",12,674
,,Rafaelita Blaksland,  USA,Raspberry Choco,16/4/2021,"$5,054 ",154,266
,,Brien Boise,  USA,After Nines,16/4/2021,"$7,581 ",239,237
,,Jan Morforth, USA,Spicy Special Slims,16/4/2021,"$7,763 ",125,353
,,Dotty Strutley,Australia,White Choc,16/4/2021,"$9,387 ",181,626
,,Barr Faughny, Canada,85% Dark Bars,16/4/2021,$966 ,163,57
,,Karlen McCaffrey,   India,Almond Choco,16/4/2021,"$5,278 ",27,278
,,Beverie Moffet,  New Zealand,White Choc,16/4/2021,"$18,354 ",275,1669
,,Marney O'Breen,  India,Spicy Special Slims,16/4/2021,"$1,330 ",161,61
,,Roddy Speechley,  Canada,Eclairs,16/4/2021,"$1,155 ",91,83
,,Rafaelita Blaksland,USA,Orange Choco,16/4/2021,"$4,669 ",101,667
,,Ches Bonnell,  Canada,Fruit & Nut Bars,16/4/2021,"$4,676 ",25,293
,,Husein Augar,  USA,After Nines,16/4/2021,$602 ,19,21
,,Jehu Rudeforth, Australia,99% Dark & Pure,19/4/2021,"$13,090 ",133,770
,,Kelci Walkden,   Australia,Drinking Coco,19/4/2021,"$11,928 ",159,459
,,Andria Kimpton,  Australia,After Nines,19/4/2021,"$4,634 ",244,145
,,Dennison Crosswaite,   UK,Smooth Sliky Salty,19/4/2021,"$5,292 ",72,252
,,Beverie Moffet,   UK,Peanut Butter Cubes,19/4/2021,"$9,065 ",56,378
,,Wilone O'Kielt, UK,Spicy Special Slims,19/4/2021,"$12,299 ",338,560
,,Husein Augar,  New Zealand,Manuka Honey Choco,19/4/2021,"$6,818 ",172,273
,,Dennison Crosswaite,New Zealand,Smooth Sliky Salty,19/4/2021,"$3,773 ",81,252
,,Jan Morforth,  UK,50% Dark Bites,19/4/2021,"$5,138 ",82,367
,,Andria Kimpton,Australia,Smooth Sliky Salty,19/4/2021,"$4,557 ",20,269
,,Barr Faughny,   Australia,Almond Choco,19/4/2021,"$2,751 ",128,138
,,Madelene Upcott,   Australia,70% Dark Bites,19/4/2021,"$10,906 ",8,779
,,Oby Sorrel,  USA,Choco Coated Almonds,19/4/2021,"$5,621 ",7,256
,,Jan Morforth,  USA,85% Dark Bars,20/4/2021,"$2,471 ",64,155
,,Gigi Bohling,  USA,White Choc,20/4/2021,"$6,139 ",9,410
,,Karlen McCaffrey,USA,Drinking Coco,20/4/2021,"$2,807 ",151,128
,,Madelene Upcott,  Australia,Raspberry Choco,20/4/2021,"$8,169 ",142,454
,,Jan Morforth,  Australia,Mint Chip Choco,20/4/2021,"$8,785 ",280,586
,,Barr Faughny,   New Zealand,Peanut Butter Cubes,20/4/2021,"$5,628 ",33,256
,,Husein Augar,   USA,White Choc,20/4/2021,"$1,302 ",7,77
,,Madelene Upcott,   Australia,Peanut Butter Cubes,20/4/2021,"$9,282 ",188,387
,,Wilone O'Kielt,   USA,Manuka Honey Choco,20/4/2021,"$4,046 ",96,162
,,Jehu Rudeforth,   Canada,Drinking Coco,20/4/2021,"$10,605 ",169,442
,,Curtice Advani,   India,50% Dark Bites,20/4/2021,"$5,929 ",25,539
,,Ches Bonnell, Canada,Manuka Honey Choco,20/4/2021,"$2,611 ",175,105
,,Gunar Cockshoot,   India,Baker's Choco Chips,20/4/2021,"$7,686 ",51,769
,,Kaine Padly,  USA,White Choc,20/4/2021,"$2,786 ",98,164
,,Jehu Rudeforth,   India,70% Dark Bites,20/4/2021,"$4,123 ",247,516
,,Rafaelita Blaksland,  UK,Choco Coated Almonds,20/4/2021,"$1,477 ",111,78
,,Gigi Bohling, UK,Caramel Stuffed Bars,20/4/2021,"$12,040 ",255,416
,,Jan Morforth,  UK,Fruit & Nut Bars,20/4/2021,"$4,340 ",277,310
,,Kelci Walkden,   New Zealand,Choco Coated Almonds,20/4/2021,"$2,639 ",526,126
,,Dotty Strutley,  New Zealand,Orange Choco,21/4/2021,"$7,931 ",377,1322
,,Jan Morforth,   New Zealand,Drinking Coco,21/4/2021,"$1,078 ",298,45
,,Beverie Moffet, Australia,85% Dark Bars,21/4/2021,"$8,680 ",429,362
,,Madelene Upcott,New Zealand,99% Dark & Pure,21/4/2021,"$8,967 ",15,427
,,Dotty Strutley,USA,After Nines,21/4/2021,"$12,075 ",258,465
,,Gigi Bohling, UK,Fruit & Nut Bars,21/4/2021,"$4,396 ",68,294
,,Husein Augar,  New Zealand,Organic Choco Syrup,21/4/2021,"$2,877 ",84,96
,,Dotty Strutley,New Zealand,Raspberry Choco,21/4/2021,"$1,659 ",291,104
,,Marney O'Breen,   Australia,70% Dark Bites,21/4/2021,$616 ,30,42
,,Ches Bonnell,UK,Almond Choco,21/4/2021,"$7,021 ",124,469
,,Van Tuxwell,   USA,70% Dark Bites,21/4/2021,"$3,255 ",119,296
,,Oby Sorrel,Canada,Baker's Choco Chips,21/4/2021,"$5,516 ",269,613
,,Jehu Rudeforth,   UK,White Choc,21/4/2021,"$18,039 ",148,1289
,,Husein Augar,UK,Manuka Honey Choco,21/4/2021,"$12,593 ",254,394
,,Madelene Upcott,   New Zealand,Organic Choco Syrup,21/4/2021,"$1,981 ",28,67
,,Gigi Bohling,   USA,Raspberry Choco,21/4/2021,"$6,552 ",112,410
,,Ches Bonnell,   USA,Raspberry Choco,21/4/2021,"$10,682 ",213,629
,,Marney O'Breen, UK,70% Dark Bites,21/4/2021,"$11,046 ",156,789
,,Jehu Rudeforth,  USA,Mint Chip Choco,21/4/2021,"$4,263 ",140,225
,,Barr Faughny,   UK,Orange Choco,21/4/2021,"$5,558 ",440,464
,,Van Tuxwell,  Canada,Manuka Honey Choco,22/4/2021,"$4,214 ",155,128
,,Andria Kimpton,India,85% Dark Bars,22/4/2021,"$7,301 ",46,406
,,Wilone O'Kielt, Canada,70% Dark Bites,22/4/2021,"$4,473 ",179,373
,,Brien Boise,New Zealand,After Nines,22/4/2021,"$11,081 ",349,462
,,Roddy Speechley, New Zealand,Mint Chip Choco,22/4/2021,"$1,120 ",274,75
,,Madelene Upcott,Canada,99% Dark & Pure,22/4/2021,"$10,297 ",48,430
,,Oby Sorrel,   UK,50% Dark Bites,22/4/2021,"$1,869 ",343,234
,,Brien Boise,India,85% Dark Bars,22/4/2021,"$12,229 ",182,644
,,Marney O'Breen, USA,Raspberry Choco,22/4/2021,"$7,707 ",173,482
,,Dennison Crosswaite,  USA,Manuka Honey Choco,22/4/2021,"$1,351 ",150,55
,,Karlen McCaffrey,   India,Organic Choco Syrup,22/4/2021,"$7,035 ",185,252
,,Barr Faughny,   New Zealand,Drinking Coco,22/4/2021,"$3,178 ",323,114
,,Brien Boise, New Zealand,70% Dark Bites,22/4/2021,"$3,668 ",336,408
,,Kaine Padly,   Canada,Orange Choco,22/4/2021,"$15,295 ",160,1700
,,Madelene Upcott,   USA,Manuka Honey Choco,22/4/2021,"$9,667 ",227,323
,,Oby Sorrel,  Australia,Almond Choco,22/4/2021,"$7,308 ",171,488
,,Kaine Padly,   USA,Raspberry Choco,22/4/2021,"$6,888 ",18,328
,,Van Tuxwell,India,99% Dark & Pure,22/4/2021,"$1,085 ",183,46
,,Jan Morforth,   New Zealand,Peanut Butter Cubes,22/4/2021,"$3,549 ",492,148
,,Kelci Walkden,  New Zealand,Orange Choco,23/4/2021,$245 ,365,21
,,Wilone O'Kielt,  Australia,Choco Coated Almonds,23/4/2021,$525 ,166,24
,,Camilla Castle, New Zealand,Manuka Honey Choco,23/4/2021,"$9,373 ",200,313
,,Dennison Crosswaite,USA,99% Dark & Pure,23/4/2021,"$3,822 ",155,225
,,Dotty Strutley,  India,Mint Chip Choco,23/4/2021,"$4,326 ",123,206
,,Mallorie Waber,  Australia,Eclairs,23/4/2021,$427 ,428,23
,,Oby Sorrel,Canada,Almond Choco,23/4/2021,"$12,236 ",61,816
,,Gigi Bohling,  New Zealand,85% Dark Bars,23/4/2021,"$4,655 ",124,259
,,Husein Augar,  New Zealand,99% Dark & Pure,23/4/2021,"$1,246 ",359,78
,,Kaine Padly,New Zealand,Caramel Stuffed Bars,23/4/2021,"$11,291 ",206,452
,,Gigi Bohling, India,50% Dark Bites,26/4/2021,"$5,530 ",45,395
,,Gunar Cockshoot, Canada,White Choc,26/4/2021,"$7,658 ",233,851
,,Rafaelita Blaksland, USA,Mint Chip Choco,26/4/2021,"$1,204 ",199,67
,,Mallorie Waber, Canada,Organic Choco Syrup,26/4/2021,"$7,238 ",19,250
,,Gunar Cockshoot,   Australia,After Nines,26/4/2021,"$2,359 ",284,91
,,Marney O'Breen,  USA,Mint Chip Choco,26/4/2021,"$4,676 ",96,234
,,Beverie Moffet, USA,Choco Coated Almonds,26/4/2021,"$4,893 ",229,233
,,Karlen McCaffrey,UK,Choco Coated Almonds,26/4/2021,"$5,152 ",133,258
,,Andria Kimpton,   Australia,Manuka Honey Choco,27/4/2021,"$3,808 ",376,142
,,Andria Kimpton,   Canada,Peanut Butter Cubes,27/4/2021,"$6,538 ",182,273
,,Dotty Strutley,UK,White Choc,27/4/2021,"$3,486 ",295,249
,,Barr Faughny,Australia,After Nines,27/4/2021,"$4,865 ",94,174
,,Van Tuxwell,UK,White Choc,27/4/2021,"$4,606 ",74,384
,,Jehu Rudeforth, New Zealand,Caramel Stuffed Bars,27/4/2021,$35 ,380,2
,,Gunar Cockshoot,UK,Smooth Sliky Salty,27/4/2021,"$6,069 ",304,304
,,Barr Faughny,India,Caramel Stuffed Bars,27/4/2021,$21 ,117,1
,,Gigi Bohling,  New Zealand,Milk Bars,27/4/2021,"$8,071 ",16,299
,,Husein Augar,USA,70% Dark Bites,27/4/2021,"$2,716 ",267,194
,,Kelci Walkden, India,Orange Choco,27/4/2021,"$7,574 ",136,842
,,Oby Sorrel,   UK,Mint Chip Choco,27/4/2021,$931 ,48,52
,,Mallorie Waber,   New Zealand,Raspberry Choco,27/4/2021,"$9,499 ",141,500
,,Van Tuxwell,India,Orange Choco,27/4/2021,$350 ,167,25
,,Barr Faughny,   UK,Almond Choco,27/4/2021,$371 ,437,20
,,Karlen McCaffrey, UK,Caramel Stuffed Bars,27/4/2021,"$10,367 ",156,432
,,Andria Kimpton,  Canada,85% Dark Bars,27/4/2021,"$9,597 ",129,600
,,Rafaelita Blaksland,  Australia,99% Dark & Pure,27/4/2021,"$2,443 ",379,102
,,Wilone O'Kielt,UK,Manuka Honey Choco,27/4/2021,"$3,556 ",75,123
,,Rafaelita Blaksland, New Zealand,Drinking Coco,27/4/2021,"$2,457 ",261,82
,,Wilone O'Kielt, UK,White Choc,27/4/2021,"$16,170 ",71,952
,,Gigi Bohling, New Zealand,Spicy Special Slims,27/4/2021,"$8,456 ",178,302
,,Ches Bonnell,  New Zealand,Mint Chip Choco,27/4/2021,$28 ,147,2
,,Dennison Crosswaite,   USA,85% Dark Bars,27/4/2021,"$10,794 ",118,450
,,Madelene Upcott,  New Zealand,Choco Coated Almonds,27/4/2021,"$7,539 ",10,444
,,Barr Faughny,  UK,Caramel Stuffed Bars,28/4/2021,"$2,982 ",102,120
,,Madelene Upcott,   USA,Mint Chip Choco,28/4/2021,"$6,237 ",73,347
,,Karlen McCaffrey, Canada,White Choc,28/4/2021,"$11,564 ",28,1285
,,Kelci Walkden,  New Zealand,Mint Chip Choco,28/4/2021,$105 ,73,7
,,Gunar Cockshoot,  India,Organic Choco Syrup,29/4/2021,"$10,402 ",33,417
,,Karlen McCaffrey,  Australia,Fruit & Nut Bars,29/4/2021,"$20,993 ",411,1235
,,Kaine Padly,UK,99% Dark & Pure,29/4/2021,"$7,658 ",190,383
,,Camilla Castle,   Canada,Mint Chip Choco,29/4/2021,"$1,981 ",235,105
,,Camilla Castle, Canada,Orange Choco,29/4/2021,"$4,816 ",64,402
,,Andria Kimpton, India,Peanut Butter Cubes,29/4/2021,"$3,661 ",287,147
,,Andria Kimpton,  India,Spicy Special Slims,29/4/2021,"$2,688 ",580,128
,,Barr Faughny,  Australia,Manuka Honey Choco,29/4/2021,"$2,534 ",159,80
,,Ches Bonnell,   UK,Mint Chip Choco,29/4/2021,"$1,820 ",81,91
,,Jan Morforth,  USA,Choco Coated Almonds,29/4/2021,"$5,432 ",107,388
,,Kelci Walkden, USA,99% Dark & Pure,30/4/2021,"$7,189 ",117,400
,,Jan Morforth, New Zealand,Milk Bars,30/4/2021,"$6,188 ",18,207
,,Curtice Advani,   USA,Caramel Stuffed Bars,30/4/2021,"$3,283 ",260,150
,,Mallorie Waber,  Canada,50% Dark Bites,30/4/2021,"$6,524 ",275,502
,,Kaine Padly,  Australia,Manuka Honey Choco,30/4/2021,"$5,180 ",32,192
,,Andria Kimpton,  Australia,Baker's Choco Chips,30/4/2021,"$12,838 ",241,803
,,Dennison Crosswaite,New Zealand,Milk Bars,30/4/2021,"$4,648 ",114,194
,,Ches Bonnell,   Australia,Peanut Butter Cubes,30/4/2021,"$3,031 ",263,127
,,Barr Faughny, Australia,Smooth Sliky Salty,30/4/2021,"$10,990 ",152,785
